Index,Name,Unprescaled
458,L1_CDC_SingleMu_3_er1p2_TOP120_DPHI2p618_3p142,1
459,L1_DoubleMu0,1
460,L1_DoubleMu_12_5,1
461,L1_DoubleMu_15_7,1
462,L1_DoubleMu0_BptxAND,1
463,L1_DoubleMuCosmic_BptxAND,1
464,L1_DoubleMu18er2p1_SQ,1
465,L1_DoubleMuOpen,1
466,L1_DoubleMuOpen_BptxAND,1
467,L1_DoubleMuOpen_Centrality_30_100_BptxAND,1
468,L1_DoubleMuOpen_Centrality_40_100_BptxAND,1
469,L1_DoubleMuOpen_Centrality_50_100_BptxAND,1
470,L1_DoubleMuOpen_MaxDr3p5_BptxAND,1
471,L1_DoubleMuOpen_OS_BptxAND,1
472,L1_DoubleMuOpen_SS_BptxAND,1
473,L1_DoubleMuSQ_BptxAND,1
474,L1_DoubleMuSQ_MaxDr3p5_BptxAND,1
475,L1_TwoMuShower_Loose,1
476,L1_TripleMu_5_3_3,1
477,L1_TripleMu_5_5_3,1
478,L1_TripleMu0,1
479,L1_TripleMu3,1
480,L1_QuadMu0,1
481,L1_SingleTau120er2p1,1
